"1. 튜링 테스트의 주요 목적은? ① 인간처럼 학습 ② 인간과 구별되지 않는 행동 평가 ③ 감정 표현 판단 ④ 창의성 확인","정답: ②<br>해설: 튜링 테스트는 기계가 대화에서 인간과 구별되지 않는지(행동 기준) 평가한다."
"2. 1956년 다트머스 회의의 주요 성과로 옳지 않은 것은? ① 인공지능 용어 탄생 ② AI 연구 공식 출발점 ③ 로봇 3원칙 정의 ④ 기호주의/연결주의 초기 논의","정답: ③<br>해설: 로봇 3원칙은 아이작 아시모프가 SF 문맥에서 제시한 것으로 다트머스 회의 성과가 아니다.<br><b>오류 보정:</b> 원문 답안의 ①은 사실과 맞지 않아 ③으로 수정함."
"3. 불쾌한 골짜기는 언제 발생하는가? ① 인간과 매우 유사하지만 미세한 이질감 ② 전혀 안 닮음 ③ 감정 모방 실패 ④ 논리 오류","정답: ①<br>해설: 유사성은 높은데 완전하지 않아 섬뜩함이 커지는 구간을 의미한다."
"4. 로봇 3원칙 제1원칙은? ① 자기보호 ② 인간에게 해를 입혀선 안 됨 ③ 인간 명령 복종 ④ 존재 유지","정답: ②<br>해설: 제1원칙이 최우선이며 제2·3원칙보다 우선한다."
"5. 딥러닝 설명으로 옳은 것은? ① 머신러닝 상위개념 ② 다층 신경망 기반 ③ 빅데이터 무관 ④ 기호추론 중심","정답: ②<br>해설: 딥러닝은 머신러닝의 하위 영역이며 심층 신경망으로 표현학습을 수행한다."
"6. 알파고의 핵심 기술은? ① 퍼셉트론+전문가시스템 ② 기호주의+논리추론 ③ 딥러닝+강화학습 ④ NLP+검색","정답: ③<br>해설: 정책망/가치망(딥러닝)과 강화학습, 몬테카를로 탐색이 결합되었다."
"7. 퍼셉트론 초기 한계의 핵심 이유는? ① 느린 처리속도 ② 다층학습 부족 ③ XOR 미해결 ④ 빅데이터 불필요","정답: ③<br>해설: 단층 퍼셉트론은 선형 분리 문제만 다룰 수 있어 XOR를 해결하지 못했다."
"8. 생성형 AI 특징으로 옳지 않은 것은? ① 텍스트/이미지/음악 창작 ② 대규모 데이터 학습 ③ 감정 표현과 논리적 사고 가능 ④ 입력 기반 생성","정답: ③<br>해설: 감정 표현은 모사 결과이며 실제 감정/인간형 사고를 의미하지 않는다."
"9. 빅데이터가 AI 발전에 기여한 방식으로 적절한 것은? ① 오류 감소 자체 ② 딥러닝 훈련 데이터 제공 ③ AI 구조 설계 ④ 기호주의 성공","정답: ②<br>해설: 대규모 학습데이터 공급이 현대 딥러닝 성능 향상에 핵심 역할을 했다."
"10. AI 정의의 4관점(인간처럼 사고/행동, 합리적 사고/행동)을 설명하시오.","모범 요점:<br>• 인간처럼 사고: 인간 인지과정 모형화(인지모델)<br>• 인간처럼 행동: 튜링 테스트 관점의 인간 유사 상호작용<br>• 합리적으로 사고: 논리적으로 타당한 추론<br>• 합리적으로 행동: 목표 달성 확률을 높이는 행위 선택(합리적 에이전트)<br>해설: 현대 AI 평가는 보통 합리적 행동 관점이 실용적으로 많이 쓰인다."
"11. 전문가 시스템이 1980년대에 인기였던 이유와 한계를 사례로 설명하시오.","모범 요점:<br>이유: 규칙 기반(if-then)으로 전문가 지식을 명시화해 의사결정 자동화 기대가 컸음.<br>한계: 지식획득 병목, 예외 처리 취약, 규칙 유지보수 비용, 책임소재 문제.<br>사례: MYCIN은 성능 잠재력에도 임상 도입에서 법/윤리/통합 이슈가 컸다."
