"문제","답과 해설 (간단한 HTML 사용 가능)"
"1. 기술통계 기법인 빈도분석, 기술 분석, 교차분석, 다차원 척도법에 대하여 설명하시오.","정답 요약:<br>• 빈도분석: 값의 출현 횟수로 분포를 파악하는 방법<br>• 기술분석: 평균, 분산, 표준편차, 왜도, 첨도 등으로 데이터를 요약<br>• 교차분석: 두 개 이상 범주형 변수의 관계를 교차표로 확인<br>• 다차원 척도법(MDS): 객체 간 유사성/비유사성을 저차원 공간 점으로 시각화<br><br>해설: 네 기법은 각각 빈도, 요약통계, 변수 간 관계, 거리 기반 구조 파악이라는 목적이 다르다."
"2. 자료를 구분하는 명목척도, 서열척도, 등간척도, 비율척도에 대하여 설명하시오.","정답 요약:<br>• 명목척도: 분류만 가능(예: 성별, 혈액형)<br>• 서열척도: 순위 비교 가능, 간격 동일성은 불명(예: 만족도 등급)<br>• 등간척도: 간격은 동일, 절대 0 없음(예: 섭씨온도, IQ)<br>• 비율척도: 절대 0 존재, 사칙연산 의미 있음(예: 키, 몸무게, 소득, 쇼핑액)<br><br>해설: 허용되는 연산 범위가 명목→서열→등간→비율 순으로 확장된다."
"3. data.csv를 불러와 데이터프레임 data를 만들고, 성별·연령대·직업·주거지역에 대해 descr 패키지 빈도분석을 수행하여 빈도표와 막대그래프를 작성하시오.","정답(코드):<br><code>data <- read.csv(\"data.csv\")</code><br><code>freq_vars <- c(\"성별\", \"연령대\", \"직업\", \"주거지역\")</code><br><code>for (v in freq_vars) { freq(data[[v]], plot=TRUE, main=paste(v, \"분포\")) }</code><br><br>해설: 각 범주형 변수별로 빈도표와 막대그래프를 생성해 분포를 비교한다. 렌더 결과(성별/연령대/직업/주거지역 분포 그래프)와 일치하면 정답이다."
"4. data의 쇼핑액 변수에 대해 psych 패키지 기술분석을 수행하여 표본 수, 평균, 표준편차, 중앙값, 최솟값, 최댓값, 범위, 왜도, 첨도, 표준오차를 산출하시오.","정답(요약 통계): n=90, mean=174.2, sd=35.46, median=172.8, min=80.4, max=244.8, range=164.4, skew=-0.26, kurtosis=-0.01, se=3.74<br><br>정답(코드):<br><code>shopping_desc <- psych::describe(data$쇼핑액)</code><br><code>print(shopping_desc)</code><br><br>해설: 해당 값들이 보고서 표와 일치하면 된다."
"5. data를 이용해 교차분석을 수행하고, 성별(행) × 연령대(열) 교차빈도표를 작성하시오.","정답 핵심 교차빈도(N):<br>남자: 25-29세 4, 30-34세 9, 35-39세 4, 40-44세 5, 45-49세 10, 50세 이상 23 (합계 55)<br>여자: 25-29세 2, 30-34세 2, 35-39세 3, 40-44세 6, 45-49세 14, 50세 이상 8 (합계 35)<br>열 합계: 6, 11, 7, 11, 24, 31 (총 90)<br><br>정답(코드):<br><code>CrossTable(data$성별, data$연령대)</code><br><br>해설: 보고서의 행비율/열비율/전체비율까지 함께 제시하면 완전한 답안이다."
"6. data의 사번 변수에 대하여 쇼핑1월·쇼핑2월·쇼핑3월 변수를 이용한 다차원 분석을 수행하고 그래프를 작성하시오.","정답(코드):<br><code>mds_data <- data[, c(\"쇼핑1월\", \"쇼핑2월\", \"쇼핑3월\")]</code><br><code>dist_matrix <- dist(mds_data)</code><br><code>mds_fit <- cmdscale(dist_matrix)</code><br><code>plot(mds_fit, pch=19, col=\"blue\")</code><br><code>text(mds_fit, labels=data$사번, cex=0.7)</code><br><br>해설: 쇼핑 패턴 유사 고객은 좌표상 가깝게 나타난다. 사번 라벨은 점 식별용이다."
"7. data를 이용한 그룹 분석으로 연령대별 평균 이용만족도 점수를 산출하시오.","정답(연령대별 평균 이용만족도):<br>25-29세 5.333333, 30-34세 4.818182, 35-39세 5.428571, 40-44세 5.090909, 45-49세 5.250000, 50세 이상 5.451613<br><br>정답(코드):<br><code>aggregate(이용만족도 ~ 연령대, data=data, mean)</code><br><br>해설: 50세 이상 집단의 평균이 가장 높고 30-34세가 가장 낮다."
"8. 쇼핑액을 round()로 소수점 제거 후 박스플롯을 작성하고 해석하시오.","정답(코드):<br><code>data$쇼핑액_round <- round(data$쇼핑액)</code><br><code>boxplot(data$쇼핑액_round, main=\"쇼핑액 박스 플롯\", ylab=\"쇼핑액\")</code><br><br>해설: 중앙값과 사분위 범위를 통해 중심과 산포를 확인하고, 수염 밖 점은 이상치 가능성을 시사한다."
"9. 쇼핑액을 round()로 소수점 제거 후 줄기-잎 도표를 작성하고 해석하시오.","정답(보정 코드 포함):<br><code>data$쇼핑액_round <- round(data$쇼핑액)</code><br><code>stem(data$쇼핑액_round)</code><br><br>정답(요약): 값이 160~190대 구간에 상대적으로 많이 분포하고, 80대 저값 관측치가 소수 존재한다.<br><br>해설: 보고서 출력과 동일한 줄기-잎 패턴이면 정답이다. 독립 실행 관점에서는 round 변수 생성을 먼저 해야 한다."
"10. 쇼핑액을 round()로 소수점 제거 후 Q-Q Plot을 작성하고 해석하시오.","정답(보정 코드 포함):<br><code>data$쇼핑액_round <- round(data$쇼핑액)</code><br><code>qqnorm(data$쇼핑액_round)</code><br><code>qqline(data$쇼핑액_round, col=\"red\")</code><br><br>해설: 점들이 기준선 주변에 대체로 놓이면 정규성에 크게 위배되지 않는 것으로 본다. 양끝에서 벗어남이 크면 꼬리 비정규 가능성을 의심한다."
